"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 13 16:06:31 GMT 2022","Tue Dec 13 16:06:36 GMT 2022","4720","","Webauthn registration","","Webauthn registration","As user I can register on the WeabuthnIO","As user I can register on the WeabuthnIO",""
"passed","Tue Dec 13 16:06:31 GMT 2022","Tue Dec 13 16:06:34 GMT 2022","2822","","Webauthn negative authentication","","Webauthn negative authentication","As user I can open the Weabuthn site","As user I can open the Weabuthn site",""
