"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 15 16:19:02 GMT 2023","Fri Dec 15 16:19:09 GMT 2023","6780","","Webauthn negative authentication","","","","As user I can open the Weabuthn site",""
"passed","Fri Dec 15 16:19:02 GMT 2023","Fri Dec 15 16:19:11 GMT 2023","8554","","Webauthn registration","","","","As user I can register on the WeabuthnIO",""
