"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 12 20:12:31 GMT 2022","Mon Dec 12 20:12:41 GMT 2022","9857","","Webauthn registration","","Webauthn registration","As user I can register on the WeabuthnIO","As user I can register on the WeabuthnIO",""
"passed","Mon Dec 12 20:12:31 GMT 2022","Mon Dec 12 20:12:37 GMT 2022","6532","","Webauthn negative authentication","","Webauthn negative authentication","As user I can open the Weabuthn site","As user I can open the Weabuthn site",""
