"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 15 16:07:37 GMT 2023","Fri Dec 15 16:07:39 GMT 2023","1756","","Webauthn negative authentication","","","","As user I can open the Weabuthn site",""
"passed","Fri Dec 15 16:07:39 GMT 2023","Fri Dec 15 16:07:42 GMT 2023","2966","","Webauthn registration","","","","As user I can register on the WeabuthnIO",""
