"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 12 19:52:43 GMT 2022","Mon Dec 12 19:52:53 GMT 2022","10086","","Webauthn registration","","Webauthn registration","As user I can register on the WeabuthnIO","As user I can register on the WeabuthnIO",""
"passed","Mon Dec 12 19:52:43 GMT 2022","Mon Dec 12 19:52:50 GMT 2022","6877","","Webauthn negative authentication","","Webauthn negative authentication","As user I can open the Weabuthn site","As user I can open the Weabuthn site",""
